term,count
amazon,15972
order,11152
delivery,11085
prime,10160
service,6251
delivered,6187
day,5972
customer,5146
ordered,4794
package,4794
help,4519
que,4458
just,4403
today,4397
time,4239
days,4103
amp,3373
product,3331
got,3239
account,3109
don,2964
ve,2920
en,2891
la,2831
received,2790
shipping,2694
hey,2676
deliver,2568
refund,2540
item,2520
customer service,2472
need,2467
hi,2365
like,2250
says,2180
el,2133
thanks,2060
app,2057
email,2041
pay,1984
amazon prime,1886
really,1858
return,1842
didn,1811
guys,1803
want,1800
le,1739
getting,1736
money,1687
parcel,1677
know,1667
phone,1643
10,1574
going,1572
waiting,1556
new,1542
day delivery,1498
week,1498
orders,1494
items,1475
box,1453
card,1432
wrong,1398
est,1376
arrive,1373
kindle,1349
address,1343
issue,1338
india,1326
buy,1324
does,1319
did,1312
yesterday,1311
worst,1307
date,1304
je,1302
packages,1300
es,1290
way,1279
mi,1274
day shipping,1257
come,1232
bought,1229
care,1224
use,1217
saying,1199
por,1179
late,1171
contact,1170
sent,1166
won,1148
book,1142
supposed,1125
trying,1124
echo,1117
pas,1117
say,1116
cancel,1104
gift,1100
arrived,1090
doesn,1088
ich,1076
et,1062
support,1059
said,1057
home,1055
haven,1045
se,1037
number,1035
left,1024
delayed,1016
times,1013
door,1010
membership,990
paid,990
work,984
il,982
good,966
disappointed,960
told,958
hasn,953
tell,952
para,950
having,948
make,939
tracking,933
ago,917
cancelled,916
send,911
pour,910
available,909
ur,909
shipped,903
nicht,900
experience,895
lost,893
people,891
free,890
seller,888
thank,887
dear,886
month,882
ai,880
friday,879
colis,877
alexa,871
tomorrow,871
problem,868
courier,868
isn,868
tv,852
using,851
think,849
da,848
die,848
packaging,841
driver,838
customers,837
let,835
vous,824
mail,817
bad,811
team,810
una,807
charged,803
tried,802
update,800
site,790
prime membership,790
placed,788
pedido,787
pathetic,785
pls,785
receive,780
pre,761
great,761
right,757
das,756
customer care,754
point,743
able,740
hours,740
ist,739
price,739
working,736
check,735
place,734
11,732
wait,726
id,725
plus,723
house,720
video,716
lo,710
mon,708
stop,708
monday,702
oct,702
months,700
hello,700
